# Número de ecuaciones diferenciales a resolver:  2
# Condiciones iniciales:    1.000000          0.000000    
# Extremo inicial del intervalo de integración:  0.0000
# Extremo final del intervalo de integración:  1.0000
# Paso de integración:  0.0100
#  x_inicial       theta           phi
   0.000000        1.000000        0.000000    
  0.1000000E-01   0.9999834      -0.3333200E-06
  0.2000000E-01   0.9999334      -0.2666241E-05
  0.3000000E-01   0.9998500      -0.8996762E-05
  0.4000000E-01   0.9997334      -0.2131969E-04
  0.5000000E-01   0.9995835      -0.4162503E-04
  0.5999999E-01   0.9994004      -0.7189644E-04
  0.6999999E-01   0.9991841      -0.1141096E-03
  0.7999999E-01   0.9989347      -0.1702306E-03
  0.8999999E-01   0.9986522      -0.2422147E-03
  0.9999999E-01   0.9983366      -0.3320042E-03
  0.1100000       0.9979882      -0.4415275E-03
  0.1200000       0.9976069      -0.5726973E-03
  0.1300000       0.9971928      -0.7274093E-03
  0.1400000       0.9967461      -0.9075403E-03
  0.1500000       0.9962668      -0.1114947E-02
  0.1600000       0.9957551      -0.1351466E-02
  0.1700000       0.9952110      -0.1618909E-02
  0.1800000       0.9946347      -0.1919065E-02
  0.1900000       0.9940264      -0.2253697E-02
  0.2000000       0.9933862      -0.2624542E-02
  0.2100000       0.9927142      -0.3033307E-02
  0.2200000       0.9920107      -0.3481672E-02
  0.2300000       0.9912756      -0.3971285E-02
  0.2400000       0.9905093      -0.4503764E-02
  0.2500000       0.9897118      -0.5080693E-02
  0.2600000       0.9888835      -0.5703623E-02
  0.2700000       0.9880244      -0.6374070E-02
  0.2800000       0.9871348      -0.7093514E-02
  0.2900000       0.9862149      -0.7863399E-02
  0.3000000       0.9852648      -0.8685131E-02
  0.3100000       0.9842849      -0.9560077E-02
  0.3200000       0.9832754      -0.1048957E-01
  0.3300000       0.9822363      -0.1147489E-01
  0.3399999       0.9811680      -0.1251729E-01
  0.3499999       0.9800707      -0.1361798E-01
  0.3599999       0.9789447      -0.1477813E-01
  0.3699999       0.9777902      -0.1599885E-01
  0.3799999       0.9766075      -0.1728122E-01
  0.3899999       0.9753968      -0.1862629E-01
  0.3999999       0.9741584      -0.2003504E-01
  0.4099999       0.9728925      -0.2150843E-01
  0.4199999       0.9715995      -0.2304735E-01
  0.4299999       0.9702795      -0.2465267E-01
  0.4399998       0.9689329      -0.2632520E-01
  0.4499998       0.9675601      -0.2806571E-01
  0.4599998       0.9661611      -0.2987493E-01
  0.4699998       0.9647365      -0.3175353E-01
  0.4799998       0.9632863      -0.3370214E-01
  0.4899998       0.9618111      -0.3572137E-01
  0.4999998       0.9603109      -0.3781174E-01
  0.5099998       0.9587862      -0.3997376E-01
  0.5199998       0.9572373      -0.4220788E-01
  0.5299998       0.9556645      -0.4451450E-01
  0.5399998       0.9540680      -0.4689400E-01
  0.5499998       0.9524482      -0.4934669E-01
  0.5599998       0.9508055      -0.5187283E-01
  0.5699998       0.9491402      -0.5447268E-01
  0.5799997       0.9474525      -0.5714641E-01
  0.5899997       0.9457428      -0.5989417E-01
  0.5999997       0.9440114      -0.6271606E-01
  0.6099997       0.9422587      -0.6561214E-01
  0.6199997       0.9404849      -0.6858243E-01
  0.6299997       0.9386904      -0.7162691E-01
  0.6399997       0.9368756      -0.7474551E-01
  0.6499997       0.9350408      -0.7793815E-01
  0.6599997       0.9331864      -0.8120466E-01
  0.6699997       0.9313126      -0.8454487E-01
  0.6799996       0.9294198      -0.8795857E-01
  0.6899996       0.9275082      -0.9144551E-01
  0.6999996       0.9255784      -0.9500538E-01
  0.7099996       0.9236306      -0.9863786E-01
  0.7199996       0.9216651      -0.1023426    
  0.7299996       0.9196823      -0.1061192    
  0.7399996       0.9176825      -0.1099672    
  0.7499996       0.9156661      -0.1138862    
  0.7599996       0.9136333      -0.1178757    
  0.7699996       0.9115846      -0.1219351    
  0.7799996       0.9095203      -0.1260639    
  0.7899995       0.9074406      -0.1302615    
  0.7999995       0.9053460      -0.1345273    
  0.8099995       0.9032367      -0.1388607    
  0.8199995       0.9011132      -0.1432609    
  0.8299995       0.8989757      -0.1477274    
  0.8399995       0.8968245      -0.1522593    
  0.8499995       0.8946600      -0.1568560    
  0.8599995       0.8924825      -0.1615167    
  0.8699995       0.8902924      -0.1662406    
  0.8799995       0.8880900      -0.1710268    
  0.8899994       0.8858755      -0.1758746    
  0.8999994       0.8836493      -0.1807832    
  0.9099994       0.8814118      -0.1857516    
  0.9199994       0.8791632      -0.1907789    
  0.9299994       0.8769039      -0.1958643    
  0.9399994       0.8746341      -0.2010069    
  0.9499994       0.8723543      -0.2062057    
  0.9599994       0.8700646      -0.2114598    
  0.9699994       0.8677654      -0.2167681    
  0.9799994       0.8654570      -0.2221299    
  0.9899994       0.8631397      -0.2275439    
  0.9999993       0.8608138      -0.2330094    
# Índice politrópico:  4.0000
